WARPTOTAL,TOTALLENGTH,THEORYLENGTH,DENIM,FIBERBASE,UNITWEIGHT,GRANULARITY,WARPLENGTH,WARPSPEED,WARPPRES,SSTENSION,WARPTENSION,TRACFORCE,OILWAXSPEED,REEDSLIGHT,ROLLQUANTITY,PRESROLLER,HYDRATENSION,GROUPTYPE,OTHER
7696.0,56000,56000,90,7696,0.56,1099,28000,160,3.0,6,12,0,0,2,2,3.0,12.0,1,1.0
7696.0,364020,340000,90,7696,3.4,962,21413,160,3.0,6,12,0,0,2,17,3.0,12.0,1,1.0
7696.0,75600,76000,90,7696,0.76,1099,25200,160,3.0,6,12,0,0,2,3,3.0,12.0,1,1.0
7696.0,60800,61000,90,7696,0.61,962,30400,160,3.0,6,12,0,0,2,2,3.0,12.0,1,1.0
7696.0,49000,49000,90,7696,0.49,1099,24500,160,3.0,6,12,0,0,2,2,3.0,12.0,1,1.0
9000.0,5400,5000,90,9000,0.05,1000,5400,160,3.0,6,12,0,0,2,1,3.0,12.0,1,1.0
7696.0,144340,156000,90,7696,1.56,1099,36085,160,3.0,6,12,0,0,2,4,3.0,12.0,1,1.0
7696.0,65000,65000,90,7696,0.65,592,21667,160,3.0,6,12,0,0,2,3,3.0,12.0,1,1.0
5493.0,369000,368571,84,5493,3.44,916,41000,180,3.0,6,6,0,0,2,9,3.0,6.0,1,1.0
5493.0,245640,338571,84,5493,3.16,916,40940,180,3.0,6,6,0,0,2,6,3.0,6.0,1,1.0
5493.0,122760,30000,84,5493,0.28,916,40920,180,3.0,6,6,0,0,2,3,3.0,6.0,1,1.0
6000.0,1330,1071,84,6000,0.01,857,1330,180,3.0,6,6,0,0,2,1,3.0,6.0,1,1.0
5493.0,373920,374096,83,5493,3.45,916,41547,180,3.0,6,6,0,0,2,9,3.0,6.0,1,1.0
4360.0,242400,241807,83,4360,2.23,727,40400,180,3.0,6,6,0,0,2,6,3.0,6.0,1,1.0
4556.0,16200,16148,418,1121,0.75,561,8100,250,3.0,14,8,0,0,2,2,3.0,8.0,2,2.0
7696.0,102000,100000,90,7696,1.0,962,34000,160,3.0,6,12,0,0,2,3,3.0,12.0,1,1.0
7498.0,27200,27321,112,7498,0.34,937,27200,160,3.0,6,12,0,0,2,1,3.0,12.0,1,1.0
