Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-05-02,571001.0,599999.0,570001.0,597065.0,33.769538,19782040.6289,585795.418016
2017-05-01,564900.0,571001.0,559000.0,571001.0,24.436883,13829652.6678,565933.579489
2017-04-30,558994.0,568980.0,554010.0,564899.0,26.455403,14864509.3818,561870.457305
2017-04-29,551005.0,558994.0,551000.0,558994.0,10.565486,5867171.72289,555314.892556
2017-04-28,558000.0,559000.0,550136.0,551005.0,29.95003,16623718.1335,555048.463506
2017-04-27,544891.0,560000.0,544890.0,558001.0,27.612949,15247161.3749,552174.321364
2017-04-26,543005.0,545000.0,539000.0,544891.0,26.021664,14109199.0237,542209.715093
2017-04-25,543650.0,544990.0,539999.0,544908.0,12.192607,6631781.74199,543918.272933
2017-04-24,539499.0,544900.0,538000.0,543988.0,32.615659,17689152.4875,542351.527757
2017-04-23,529999.0,539950.0,529998.0,539499.0,20.552849,11010632.1599,535722.914127
2017-04-22,527201.0,530000.0,527200.0,529998.0,9.762985,5163666.26158,528902.406546
2017-04-21,526400.0,529900.0,523509.0,527201.0,14.132712,7456133.69724,527579.823125
2017-04-20,524501.0,527000.0,523000.0,527000.0,14.050926,7358907.32518,523731.128125
2017-04-19,524988.0,530000.0,522151.0,524600.0,21.402954,11250721.7086,525662.098259
